Topic,Description
Agriculture and Food,"Primary focus of story is agricultural practices; agricultural prices and marketing; agricultural education; food assistance or nutrition programs; food industry, supply, and safety; aquaculture; horticulture and plants. Measures concerning international trade in agricultural products may fall under Foreign Trade and International Finance policy area. Measures concerning forests on public lands may fall under Public Lands and Natural Resources policy area."
Animals,Primary focus of story is animal protection; human-animal relationships; wildlife conservation and habitat protection; veterinary medicine. Measures concerning endangered or threatened species may fall under Environmental Protection policy area. Measures concerning wildlife refuge matters may fall under Public Lands and Natural Resources policy area.
Armed Forces and National Security,"Primary focus of story is military operations and spending, facilities, procurement and weapons, personnel, intelligence; strategic materials; war and emergency powers; veteransâ€™ issues. Measures concerning alliances and collective security, arms sales and military assistance, or arms control may fall under International Affairs policy area."
"Arts & Culture","Primary focus of story is art, literature, performing arts in all formats; arts and humanities funding; libraries, exhibitions, cultural centers; sound recording, motion pictures, television and film; cultural property and resources; cultural relations. Measures concerning intellectual property aspects of the arts may fall under Commerce policy area. Measures concerning religious freedom may fall under Civil Rights and Liberties, Minority Issues policy area."
"Civil Rights","Primary focus of story is discrimination on basis of race, ethnicity, age, sex, gender, health or disability; First Amendment rights; due process and equal protection; abortion rights; privacy. Measures concerning abortion rights and procedures may fall under Health policy area."
Commerce,"Primary focus of story is business investment, development, regulation; small business; consumer affairs; competition and restrictive trade practices; manufacturing, distribution, retail; marketing; intellectual property. Measures concerning international competitiveness and restrictions on imports and exports may fall under Foreign Trade and International Finance policy area."
Congress,"Primary focus of story is Members of Congress; general congressional oversight; congressional agencies, committees, personnel, and operations; legislative procedures; U.S. Capitol. Measures concerning oversight and investigation of specific matters may fall under the issue-specific relevant policy area."
Justice,"Primary focus of story is criminal offenses, investigation and prosecution, procedure and sentencing; corrections and imprisonment; juvenile crime; law enforcement administration; controlled substances regulation. Measures concerning terrorism may fall under Emergency Management or International Affairs policy areas."
Budget,"Primary focus of story is budgetary matters such as appropriations, public debt, the budget process, government lending, and government accounts; monetary policy and inflation; economic development, performance, and economic theory."
Education,"Primary focus of story is elementary, secondary, or higher education including special education and matters of academic performance, school administration, teaching, educational costs, and student aid (including federal student loans). Measures concerning college sports (including NCAA) may fall under Sports and Recreation policy area."
Elections,"Primary focus of story is political contests, including primary and general elections, and announcements by candidates for election."
Emergency Management,"Primary focus of story is emergency and disaster preparedness, response, recovery and mitigation; response to civil disturbances, natural and other disasters, including fires; emergency communications; security preparedness. Measures concerning public health emergencies may fall under Health policy area."
Energy,"Primary focus of story is all sources and supplies of energy, including renewable energy sources (e.g., solar and wind), oil and gas, coal, nuclear power; energy efficiency and conservation; costs, prices, and revenues; electric power transmission; public utility matters; hydropower."
Environmental Protection,"Primary focus of story is regulation of pollution including from hazardous substances and radioactive releases; climate change and greenhouse gases; reclamation of abandoned mines; oil spills; algal blooms; hypoxia in water; environmental assessment and research; solid waste and recycling; ecology; protection of coastal zones; invasive species. Measures concerning energy exploration, efficiency, and conservation may fall under Energy policy area. Measures concerning black lung benefits for miners may fall under Labor and Employment policy area."
Families,"Primary focus of story is child and family welfare, services, and relationships; marriage and family status; domestic violence and child abuse. Measures concerning public assistance programs or aging may fall under Social Welfare policy area."
Economy,Primary focus of story is U.S. banking and financial institutions regulation; consumer credit; bankruptcy and debt collection; financial services and investments; insurance; securities; real estate transactions; currency. Measures concerning financial crimes may fall under Crime and Law Enforcement. Measures concerning business and corporate finance may fall under Commerce policy area. Measures concerning international banking may fall under Foreign Trade and International Finance policy area.
Trade,"Primary focus of story is competitiveness, trade barriers and adjustment assistance; foreign loans and international monetary system; international banking; trade agreements and negotiations; customs enforcement, tariffs, and trade restrictions; foreign investment. Measures concerning border enforcement may fall under Immigration policy area."
Maryland Government and Politics,"Primary focus of story is state government administration, including agency organization, contracting, facilities and property, information management and services; rulemaking and administrative law; elections and political activities; government employees and officials; Governors; ethics and public participation. Measures concerning agency appropriations and the budget process may fall under Economics and Public Finance policy area."
Federal Government and Politics,"Primary focus of story is federal government administration, including agency organization, contracting, facilities and property, information management and services; rulemaking and administrative law; elections and political activities; government employees and officials; Presidents; ethics and public participation; postal service. Measures concerning agency appropriations and the budget process may fall under Economics and Public Finance policy area."
Health,"Primary focus of story is science or practice of the diagnosis, treatment, and prevention of disease; health services administration and funding, including such programs as Medicare and Medicaid; health personnel and medical education; drug use, safety, treatment, and research; health care coverage and insurance; health facilities. Measures concerning controlled substances and drug trafficking may fall under Crime and Law Enforcement policy area."
Housing,"Primary focus of story is home ownership; housing programs administration and funding; residential rehabilitation; regional planning, rural and urban development; affordable housing; homelessness; housing industry and construction; fair housing. Measures concerning mortgages and mortgage finance may fall under Finance and Financial Sector policy area."
Immigration,"Primary focus of story is administration of immigration and naturalization matters; immigration enforcement procedures; customs and border protection; refugees and asylum policies; travel and residence documentation for non-U.S. nationals, such as visas; foreign labor; benefits for immigrants. Measures concerning smuggling and trafficking of persons and controlled substances may fall under Crime and Law Enforcement policy area. Measures concerning refugees may fall under International Affairs policy area."
International Affairs,"Primary focus of story is matters affecting foreign aid, human rights, international law and organizations; national governance; passports for U.S. nationals; arms control; diplomacy and foreign officials; alliances and collective security. Measures concerning trade agreements, tariffs, foreign investments, and foreign loans may fall under Foreign Trade and International Finance policy area."
Labor and Employment,"Primary focus of story is matters affecting hiring and composition of the workforce, wages and benefits, labor-management relations; occupational safety, personnel management, unemployment compensation, pensions. Measures concerning public-sector employment may fall under Government Operations and Politics policy area."
Law,"Primary focus of story is matters affecting civil actions and administrative remedies, courts and judicial administration, general constitutional issues, dispute resolution, including mediation and arbitration. Measures concerning specific constitutional amendments may fall under the policy area relevant to the subject matter of the amendment (e.g., Education). Measures concerning criminal procedure and law enforcement may fall under Crime and Law Enforcement policy area."
Native Americans,"Primary focus of story is matters affecting Native Americans, including Alaska Natives and Hawaiians, in a variety of domestic policy settings. This includes claims, intergovernmental relations, and Indian lands and resources."
Natural Resources,"Primary focus of story is natural areas (including wilderness); lands under government jurisdiction (e.g., national parks, national forests, and monuments); land use practices and policies; parks, monuments, and historic sites; fisheries and marine resources; wildfire mitigation and disaster relief on federal lands. Measures concerning energy supplies and production may fall under Energy policy area."
"Science & Technology","Primary focus of story is natural sciences, space exploration, research policy and funding, research and development, STEM education, scientific cooperation and communication; technology and cybersecurity policy, telecommunication, information technology; digital media, journalism. Measures concerning scientific education may fall under Education policy area."
History,"Primary focus of story is policy sciences, history, matters related to the study of society. Measures concerning particular aspects of government functions may fall under Government Operations and Politics policy area."
Social Welfare,"Primary focus of story is public assistance and Social Security programs; social services matters, including community service, volunteer, and charitable activities. Measures concerning such health programs as Medicare and Medicaid may fall under Health policy area."
Sports,"Primary focus of story is youth, amateur, college (including NCAA) and professional athletics; outdoor recreation; sports and recreation facilities. Measures concerning recreation areas may fall under Public Lands and Natural Resources policy area."
Taxes,"Primary focus of story is all aspects of income, excise, property, inheritance, and employment taxes; tax administration and collection. Measures concerning state and local finance may fall under Economics and Public Finance policy area."
Transportation and Public Works,"Primary focus of story is all aspects of transportation modes and conveyances, including funding and safety matters; Coast Guard; infrastructure development; travel and tourism. Measures concerning water resources and navigation projects may fall under Water Resources Development policy area."
Chesapeake Bay,"Primary focus of story is the Chesapeake Bay, including the fishing/crabbing and oyster industries, plus recreation on the Bay. It does not include the Chesapeake Bay Bridge. Measures concerning water quality may fall under Environmental Protection policy area."
Baltimore,"Primary focus of story is the city of Baltimore, excluding sports."